동영상제목,조회수,좋아요수,게시일,댓글내용,댓글작성자,댓글좋아요수,댓글작성일
2025 반드시 알아둬야할 이 개발자 플랫폼은?,39910,1003,2025-10-12T11:30:30Z,"💥 2025 신규강의! 에약판매 시작했어요 - AI Agents 마스터클래스
새로운 AI 패러다임의 핵심은 바로 '에이전트'입니다.
현 시점 최신 강의와 함께 AI 시대 변화의 흐름을 주도하세요
5개 프레임워크 × 10개 실전 위주 프로젝트로 AI Agents의 모든 것을 배웁니다.
CrewAI, Autogen, OpenAI Agents SDK, ADK, LangGraph ⚡
슈퍼 AI 개발자 되기 👉🏻 http://bit.ly/3J3DV2E",@nomadcoders,7,2025-10-12T12:33:12Z
,,,,"저희 회사에서는 AWS, Azure와 함께 Cloudflare 쓰고 있습니다. 아무래도 AWS 비교해서 비용이 저렴하고, 특히 전 세계 대상으로 하다보니 엣지 네트워크가 중요하다보니 AWS Lambda보다 비교적 낮은 지연시간을 제공하는 성능 역시 무시 못하는것 같습니다. 그리고 더욱이 위의 영상에는 빠져있지만 WAF(웹 애플리케이션 방화벽), DDoS 방어, 봇 관리 등의 보안 기능이 기본으로 통합되어 있어, 별도의 AWS 서비스(예: AWS WAF, Shield)를 구성하고 연결하는 복잡함이 줄어드는 장점이 있는 것 같습니다. 그러다보니 많은 사이트에서도 쓰고 아마 Turnstile(캡차 대체 솔루션)도 다들 많이 보셨을 것 같습니다. 1인 개발할 때도, 클라우드플레어만큼 거의 무료에 가까운 비용으로 많은 서비스를 제공하는 업체도 잘 없는 것 같습니다.",@24worldde84,39,2025-10-12T17:35:01Z
,,,,"Cloudflare 정말 좋습니다. 처음에 R2 나 Worker 부터 시작해서 현재는 AI 통합까지 엄청 많이 제공해주고 가격이 다른 플랫폼에 비해 압도적으로 저렴한게 장점이에요. 대시보드가 복잡하지 않고 직관적인것도 장점인것같습니다.

다만 AWS 의 ECS 같은 컨테이너 기반 배포가 아직 없다는 점(이번에 나온  컨테이너는 1회성 작업용 같더군요), Workers 가 V8 기반이라서 흔히 사용되는 node  관련 기능들과 호환이 안된다는점은 좀 흠이긴 한데 앞으로 이런것들은 무조건 나올것이라고 생각합니다.",@장다윗-n3m,12,2025-10-12T16:21:37Z
,,,,"dns 관리와 storage&cdn 목적으로 사용하고 있었는데..
훨씬 더 많고 다양한 지원을 하고 있었네요
영상을 본 후 메뉴와 사용 방법을 찾아보게 됩니다
좋은 정보 고마워요!",@jonny-lab,13,2025-10-12T12:36:26Z
,,,,진짜 어쩜 이렇게 필요할 때 딱딱 영상 만들어주시는지 신기하고 감사할 따름입니다. 아내분과 따님이 함께 시간 보내는 모습도 너무 보기 좋습니다ㅎㅎ,@estar-zw7ie,7,2025-10-12T13:09:17Z
,,,,고양이 집사 커뮤니티 만드는데 이 플랫폼 사용중입니다. 초보라 vscode로 확장프로그램 연결해서 클로드로 만들고있어요 도메인설정부터 배포 관리까지 너무 간편해서 공부하고있었는데 영상감사합니다!,@playcatkorea,8,2025-10-12T13:24:27Z
,,,,"요즘 사이드 프로젝트 인프라로 Cloudflare 사용 중 이예요. 사비로 인프라 비용을 충당해야해서 Public Cloud 대비 가격이 저렴해서 사용하게 되었네요.
제가 느낀 Cloudflare 장점은 안정성과 저렴한 가격. 단점은 AWS 환경에 적응한 나머지 개발자 경험(DX)가 익숙하지 않다는 점.",@kth3321,2,2025-10-13T04:34:51Z
,,,,감사합니다. 영상 후반부에 말하신 클라우드플레어 다른 기능들도 영상으로 나왔으면 좋겠습니다. 가족분 모두 건강하십시오.,@hellonicetomeetu7951,1,2025-10-12T15:03:17Z
,,,,"TypeScript 기반 풀스택 프로젝트, T3 Stack 에 대해서도 다루어 주셨으면 좋겠습니다.",@or1is1,0,2025-10-19T02:07:08Z
,,,,"단순 dns관리에서만 이용하고 있었는데, 도움이 되는 영상 감사합니다 ~",@samsara60,0,2025-10-13T23:08:45Z
